epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2614.27,1.00912,0.5599,1.05974,0.87953,0.78188,0.78021,0.55682,1.02142,0.4374,1.2033,0.000703961,0.000703961,0.000703961
43,2675.48,1.00497,0.54388,1.04964,0.93379,0.6996,0.80505,0.57343,0.98269,0.41871,1.14703,0.000686277,0.000686277,0.000686277
44,2736.57,1.00613,0.54726,1.06091,0.74844,0.74663,0.72833,0.51855,1.02512,0.43889,1.19798,0.000668593,0.000668593,0.000668593
45,2796.45,0.9995,0.54425,1.053,0.92331,0.78393,0.82067,0.58982,0.98898,0.40544,1.16083,0.000650909,0.000650909,0.000650909
46,2858.58,0.99721,0.54278,1.05284,0.87989,0.78001,0.78473,0.56676,1.03038,0.4133,1.1845,0.000633226,0.000633226,0.000633226
47,2919.35,0.98012,0.53372,1.04812,0.91756,0.70658,0.80548,0.5609,1.04961,0.40931,1.18302,0.000615542,0.000615542,0.000615542
48,2982.63,0.97747,0.52938,1.04479,0.78549,0.80815,0.80929,0.58513,0.99136,0.3963,1.14635,0.000597858,0.000597858,0.000597858
49,3042.32,0.98383,0.52924,1.0482,0.86945,0.80177,0.83967,0.60165,0.97466,0.38989,1.14888,0.000580174,0.000580174,0.000580174
50,3104.04,0.97475,0.52613,1.03833,0.85741,0.70769,0.775,0.57004,0.9679,0.40408,1.14903,0.00056249,0.00056249,0.00056249
51,3167.47,0.96987,0.52933,1.03702,0.95707,0.72117,0.82842,0.5852,0.99691,0.39629,1.17574,0.000544806,0.000544806,0.000544806
52,3227.39,0.96924,0.52116,1.04132,0.82337,0.795,0.80885,0.57999,1.01196,0.39064,1.17282,0.000527122,0.000527122,0.000527122
53,3290.16,0.94824,0.50812,1.03886,0.95861,0.77528,0.82399,0.59614,1.03009,0.41186,1.18899,0.000509438,0.000509438,0.000509438
54,3351.01,0.95561,0.51526,1.0304,0.83121,0.72613,0.79023,0.56165,0.99308,0.40642,1.16266,0.000491755,0.000491755,0.000491755
55,3412.16,0.9717,0.51454,1.03586,0.81024,0.80159,0.78239,0.57268,0.99318,0.39456,1.16411,0.000474071,0.000474071,0.000474071
56,3473.76,0.94376,0.50173,1.0342,0.84674,0.70956,0.78907,0.58175,0.9971,0.39403,1.16882,0.000456387,0.000456387,0.000456387
57,3533.53,0.94297,0.50324,1.02938,0.77191,0.7493,0.77009,0.56507,0.98884,0.39157,1.16205,0.000438703,0.000438703,0.000438703
58,3594.62,0.96087,0.50465,1.03889,0.81693,0.73408,0.78514,0.55963,0.99727,0.39194,1.16167,0.000421019,0.000421019,0.000421019
59,3656.03,0.94077,0.5038,1.02825,0.96239,0.77234,0.82655,0.58421,1.0069,0.39344,1.16837,0.000403335,0.000403335,0.000403335
60,3717.85,0.94081,0.49851,1.03041,0.87962,0.71118,0.78108,0.57338,0.9898,0.38132,1.16641,0.000385651,0.000385651,0.000385651
61,3779.87,0.93378,0.49061,1.02151,0.9413,0.75553,0.83024,0.61257,0.96618,0.36906,1.16323,0.000367967,0.000367967,0.000367967
62,3838.91,0.92266,0.47801,1.01414,0.98254,0.77162,0.83296,0.60891,0.98964,0.3729,1.16455,0.000350284,0.000350284,0.000350284
63,3902.13,0.90789,0.4755,1.0165,0.95549,0.76406,0.82954,0.5965,1.01174,0.37376,1.17602,0.0003326,0.0003326,0.0003326
64,3962.07,0.9189,0.47793,1.01665,0.93144,0.75856,0.83143,0.60669,0.97272,0.37956,1.14738,0.000314916,0.000314916,0.000314916
65,4022.17,0.8902,0.47519,1.0111,0.92101,0.74813,0.82052,0.58759,0.98308,0.37268,1.16767,0.000297232,0.000297232,0.000297232
66,4084.51,0.9157,0.47246,1.01102,0.93441,0.75967,0.82141,0.59539,0.97981,0.37172,1.16183,0.000279548,0.000279548,0.000279548
67,4144.18,0.91411,0.47499,1.01748,0.96844,0.76483,0.82471,0.58174,1.01675,0.3724,1.16505,0.000261864,0.000261864,0.000261864
68,4205.32,0.88772,0.46903,1.012,0.93797,0.75927,0.82375,0.59849,1.00517,0.36564,1.17194,0.00024418,0.00024418,0.00024418
69,4266.85,0.89351,0.45824,1.0068,0.94139,0.75557,0.82463,0.59088,0.9742,0.36386,1.17029,0.000226497,0.000226497,0.000226497
70,4326.79,0.9001,0.47239,1.00881,0.93059,0.76288,0.82122,0.59049,1.01435,0.37908,1.20425,0.000208813,0.000208813,0.000208813
71,4391.77,0.88378,0.41261,1.01139,0.93106,0.75158,0.82046,0.58294,0.99441,0.37406,1.1719,0.000191129,0.000191129,0.000191129
72,4451.49,0.87523,0.40451,1.00214,0.91953,0.76554,0.8217,0.59053,1.00434,0.37566,1.17637,0.000173445,0.000173445,0.000173445
73,4510.04,0.8622,0.3979,0.99577,0.93096,0.75112,0.82094,0.58531,1.00667,0.36852,1.16476,0.000155761,0.000155761,0.000155761
74,4572.87,0.86091,0.39389,0.99361,0.87362,0.78275,0.81245,0.59033,0.98896,0.36204,1.1683,0.000138077,0.000138077,0.000138077
75,4632.72,0.8524,0.38785,0.99486,0.964,0.75986,0.82086,0.58542,0.99229,0.36309,1.17835,0.000120393,0.000120393,0.000120393
76,4691.73,0.84954,0.38908,0.99174,0.83682,0.78225,0.79986,0.56992,1.00529,0.36985,1.17122,0.000102709,0.000102709,0.000102709
77,4752.06,0.84785,0.38541,0.99021,0.98731,0.75952,0.82295,0.58733,1.00262,0.36106,1.17742,8.50255e-05,8.50255e-05,8.50255e-05
78,4814.41,0.83298,0.37725,0.98448,0.95089,0.76111,0.8222,0.58523,1.01558,0.3578,1.17797,6.73416e-05,6.73416e-05,6.73416e-05
79,4873.05,0.83639,0.37479,0.98763,0.93784,0.76229,0.82509,0.5934,0.98665,0.35715,1.16926,4.96578e-05,4.96578e-05,4.96578e-05
80,4931.91,0.82635,0.37615,0.98565,0.9269,0.76373,0.82433,0.58402,1.00537,0.35554,1.17906,3.19739e-05,3.19739e-05,3.19739e-05
